,image,xmin,ymin,xmax,ymax,label,img_width,img_height
0,sri%20lankan%20rolls_152.jpg,883.16390970413,260.606851294128,1283.43634113622,585.958967690253,roll,0,0
1,0HTVO.jpg,343.150387960437,119.420715914905,475.327997100955,327.089947667974,cake_slice,0,0
2,211f707734773f81.jpg,0.0,381.0,150.0,531.0,Doughnut,0,0
3,1578988530.307078_0318_3.jpg,310.146762589928,155.441726618705,470.008633093525,326.353956834532,chicken,0,0
4,1572579653.4777_2044_3.jpg,29.4676258992806,173.858992805755,149.548201438849,265.945323741007,fish,0,0
5,1578988530.307078_0233_3.jpg,332.247482014388,18.4172661870504,477.375539568345,188.592805755396,chicken,0,0
6,0BIAU.jpg,211.510125341064,169.658927886255,483.656186050477,413.059081365109,burger,0,0
7,0EV53.jpg,97.8696708731242,153.271074032231,355.777135914052,304.791687094986,samosa,0,0
8,1572579653.4777_1758_3.jpg,350.664748201439,172.385611510791,481.058992805755,267.418705035971,fish,0,0
9,sri%20lankan%20patis_123.jpg,721.563250891381,236.864871123886,1268.21004450444,475.739029457602,patties,0,0
10,1567668035.387374_0336_2.jpg,245.424460431655,184.73381294964,357.755395683453,274.705035971223,egg,0,0
11,1572588409.786849_2770_3.jpg,279.205755395683,69.2489208633094,399.286330935252,170.912230215827,fish,0,0
12,1578976328.983514_0160_3.jpg,254.894964028777,133.341007194245,405.179856115108,322.670503597122,chicken,0,0
13,1579668931.543347_0089_3.jpg,127.447482014389,209.220143884892,340.351079136691,352.138129496403,papadum,0,0
14,1572413169.113633_0731_3.jpg,148.074820143885,41.9913669064748,385.289208633093,171.648920863309,papadum,0,0
15,samosa_117.jpg,115.767964556173,950.544725238545,511.237583277416,1330.22787866944,samosa,0,0
16,1578976328.983514_0195_3.jpg,113.45035971223,128.920863309353,285.09928057554,304.253237410072,chicken,0,0
17,0DBDN.jpg,218.763791780355,113.510341170703,411.657081343793,219.359857285982,roll,0,0
18,1572579653.4777_0213_3.jpg,195.223021582734,75.8791366906475,301.306474820144,166.492086330935,fish,0,0
19,1578988530.307078_0265_3.jpg,100.189928057554,105.346762589928,291.729496402878,229.110791366906,chicken,0,0
20,1573012822.445001_0795_3.jpg,177.910791366906,115.660431654676,276.627338129496,219.53381294964,egg,0,0
21,0ed7a4febc844056.jpg,451.0,260.0,932.0,767.0,burger,0,0
22,0AO9P.jpg,77.4519952251023,151.927792995396,232.465104877217,308.821487572476,patties,0,0
23,1578976328.983514_0013_3.jpg,28.7309352517986,30.2043165467626,145.864748201439,136.287769784173,egg,0,0
24,1579590194.199263_0037_3.jpg,127.447482014389,245.317985611511,210.693525179856,326.353956834532,fish,0,0
25,1578457952.724229_0273_3.jpg,335.194244604317,120.81726618705,481.058992805755,354.348201438849,chicken,0,0
26,8746983ae7af1735.jpg,417.0,226.0,827.0,615.0,Doughnut,0,0
27,1578976328.983514_0222_3.jpg,195.223021582734,108.293525179856,344.771223021583,285.835971223022,chicken,0,0
28,00SWA.jpg,185.323641304348,38.7900077538796,378.922682225064,115.154794482222,roll,0,0
29,1572588409.786849_1491_3.jpg,171.648920863309,3.68345323741007,273.312230215827,114.187050359712,fish,0,0
30,80ebc33fc56304e2.jpg,440.0,0.0,1023.0,533.0,burger,0,0
31,sri%20lankan%20patis_1.jpg,115.895851306876,700.548476501507,261.247493689289,963.525696232732,patties,0,0
32,1579590194.199263_0068_3.jpg,154.705035971223,105.346762589928,224.690647482014,178.279136690647,fish,0,0
33,89b703397fe5a1c3.jpg,316.0,533.0,675.0,900.0,burger,0,0
34,1572588409.786849_3683_3.jpg,254.894964028777,59.6719424460432,369.082014388489,136.287769784173,fish,0,0
35,68f3fbf2eb161f17.jpg,74.0,291.0,851.0,767.0,Doughnut,0,0
36,07b61c264fb9ab31.jpg,567.0,335.0,682.0,491.0,burger,0,0
37,1572413169.113633_3221_3.jpg,300.569784172662,71.4589928057554,505.369784172662,256.368345323741,papadum,0,0
38,d9f52fd3026fa314.jpg,0.0,90.0,307.0,237.0,Sandwich,0,0
39,0B99L.jpg,101.093515518417,151.65914105133,236.226274727149,295.657478363745,cup_cake,0,0
40,0D3PC.jpg,194.584946282401,257.240015880798,454.910278819918,472.96882727234,Doughnut,0,0
41,0BSY7.jpg,194.316315654843,86.6449762320941,374.851530525239,334.34357147425,Sandwich,0,0
42,1578988530.307078_0199_3.jpg,321.197122302158,98.7165467625899,450.854676258993,271.838848920863,chicken,0,0
43,f9b55f24036eec3a.jpg,322.0,481.0,851.0,871.0,burger,0,0
44,00OCQ.jpg,111.409809856753,59.7216916780355,202.215552523874,302.23948296811,roll,0,0
45,a0d5664953d6ce04.jpg,72.0,371.0,378.0,630.0,Doughnut,0,0
46,f3323d1fa040a1ac.jpg,524.0,102.0,934.0,500.0,Doughnut,0,0
47,1579670191.463133_0050_3.jpg,338.877697841727,192.276258992806,503.159712230216,425.807194244604,papadum,0,0
48,1572413169.113633_2876_3.jpg,19.8906474820144,148.811510791367,170.175539568345,346.981294964029,papadum,0,0
49,1578975387.887355_0093_3.jpg,96.5064748201439,235.741007194245,236.477697841727,339.614388489209,egg,0,0
50,1572413169.113633_3339_3.jpg,342.561151079137,126.710791366906,475.165467625899,360.978417266187,papadum,0,0
51,1572576913.364874_0013_3.jpg,227.637410071942,99.453237410072,335.194244604317,200.379856115108,fish,0,0
52,1572413169.113633_0974_3.jpg,154.705035971223,49.358273381295,400.759712230216,173.122302158273,papadum,0,0
53,1578988530.307078_0095_3.jpg,112.713669064748,35.3611510791367,288.046043165468,212.16690647482,chicken,0,0
54,0APG6.jpg,65.0939418485675,92.8240135786153,298.553909447476,144.405495928547,roll,0,0
55,55713ead261be7d9.jpg,0.0,198.0,371.0,650.0,burger,0,0
56,1572413169.113633_4752_3.jpg,39.7812949640288,241.634532374101,210.693525179856,486.21582733813,papadum,0,0
57,1572588409.786849_2618_3.jpg,97.9798561151079,76.6158273381295,201.853237410072,171.648920863309,fish,0,0
58,1579590194.199263_0222_3.jpg,127.447482014389,241.634532374101,330.774100719424,390.446043165468,chicken,0,0
59,1579590194.199263_0101_3.jpg,61.1453237410072,166.492086330935,144.391366906475,237.951079136691,fish,0,0
60,0eeb9c5f160277ca.jpg,92.0,81.0,767.0,1023.0,burger,0,0
61,samosa_164.jpg,46.5064755527797,287.107942151828,338.284382631607,532.0,samosa,0,0
62,7ddab977ede4271a.jpg,643.0,36.0,915.0,321.0,Doughnut,0,0
63,1578976328.983514_0218_3.jpg,35.3611510791367,212.16690647482,199.643165467626,457.484892086331,chicken,0,0
64,0C5M7.jpg,136.287154672578,197.33024865706,318.702911834925,345.089734502899,cup_cake,0,0
65,1579590194.199263_0064_3.jpg,315.303597122302,407.389928057554,419.176978417266,500.94964028777,fish,0,0
66,0ARB4.jpg,95.9891072646658,231.717910662517,338.851956855389,416.014274066337,fish_bun,0,0
67,1572588409.786849_0603_3.jpg,69.9856115107914,282.889208633094,194.486330935252,386.762589928058,fish,0,0
68,1369be4499a2e8a2.jpg,669.0,218.0,990.0,481.0,burger,0,0
69,1573012822.445001_0079_3.jpg,128.184172661871,221.743884892086,246.054676258993,323.407194244604,egg,0,0
70,1579590194.199263_0210_3.jpg,139.234532374101,5.1568345323741,287.309352517986,154.705035971223,chicken,0,0
71,1573012822.445001_0735_3.jpg,114.555395683453,100.189928057554,219.165467625899,200.379856115108,egg,0,0
72,sri%20lankan%20patis_120.jpg,156.134551455603,324.479012664961,448.450121008831,574.24817591377,patties,0,0
73,05d64f071f635642.jpg,20.0,314.0,506.0,703.0,Doughnut,0,0
74,0BQBM.jpg,137.899066336971,146.823384741644,382.642458219645,202.703330171385,roll,0,0
75,1579590194.199263_0002_3.jpg,132.604316546763,187.119424460432,207.746762589928,276.995683453237,fish,0,0
76,0C9CQ.jpg,258.793165927694,41.7798297876876,453.298367155525,201.628722395123,Doughnut,0,0
77,1572579653.4777_1451_3.jpg,50.094964028777,309.410071942446,194.486330935252,401.496402877698,fish,0,0
78,1578988530.307078_0327_3.jpg,366.135251798561,123.764028776978,509.053237410072,321.197122302158,chicken,0,0
79,1573012822.445001_0365_3.jpg,103.505035971223,243.107913669065,328.195683453237,408.126618705036,papadum,0,0
80,775f086b5f45f468.jpg,171.0,0.0,1022.0,1022.0,Sandwich,0,0
81,0DNGR.jpg,89.8100699181446,262.34442413455,400.910918315143,388.074301351467,patties,0,0
82,08fb98370d7b5f73.jpg,552.0,358.0,939.0,770.0,burger,0,0
83,1572588409.786849_1095_3.jpg,296.14964028777,298.359712230216,408.863309352518,405.91654676259,fish,0,0
84,1572413169.113633_3726_3.jpg,346.244604316547,52.305035971223,488.425899280576,287.309352517986,papadum,0,0
